connect:socket.fyers.in/hsm/v1-5/prod
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/Users/em997/Documents/Fyers/Backend/sdks/fyers-java-sdk-internal/target/dependency/hsjavalib-2.1.0-v1.5-22.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/Users/em997/Documents/Fyers/Backend/sdks/fyers-java-sdk-internal/repo/in/tts/hsjavalib/2.1.0-v1.5-22/hsjavalib-2.1.0-v1.5-22.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
2025-11-28 10:34:21.379 INFO  [main] App3:56 - Loop 0: Subscribing [NSE:AMBUJACEM-EQ, NSE:BERGEPAINT-EQ, NSE:COLPAL-EQ, NSE:DABUR-EQ]
Loop    0: @10:34:30:968, quote : {"vol_traded_today":"127369","symbol":"NSE:AMBUJACEM-EQ","ask_size":"345","ch":"3.05","high_price":"551.85","exch_feed_time":"1764306270","ltp":"551.75","chp":"0.56","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.75","Ylow":"45500","tot_sell_qty":"287598","bid_size":"750","last_traded_qty":"5","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316839","turnover":"6996379170","last_traded_time":"1764306261","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:30:968, quote : {"vol_traded_today":"23588","symbol":"NSE:COLPAL-EQ","ask_size":"5","ch":"-4.0","high_price":"2175.2","exch_feed_time":"1764306270","ltp":"2167.3","chp":"-0.18","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.3","Ylow":"214780","tot_sell_qty":"54073","bid_size":"5","last_traded_qty":"2","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53439","turnover":"5119822576","last_traded_time":"1764306265","bid_price":"2166.4","prev_close_price":"2171.3"}
Loop    0: @10:34:32:208, quote : {"vol_traded_today":"26813","symbol":"NSE:BERGEPAINT-EQ","ask_size":"35","ch":"-4.1","high_price":"570.5","exch_feed_time":"1764306271","ltp":"566.75","chp":"-0.72","Yhigh":"60500","type":"sf","avg_trade_price":"567.47","ask_price":"566.75","Ylow":"43775","tot_sell_qty":"47728","bid_size":"1","last_traded_qty":"1","low_price":"565.7","open_price":"566.25","tot_buy_qty":"17876","turnover":"1521557311","last_traded_time":"1764306216","bid_price":"566.35","prev_close_price":"570.85"}
Loop    0: @10:34:32:209, quote : {"vol_traded_today":"95328","symbol":"NSE:DABUR-EQ","ask_size":"652","ch":"-3.55","high_price":"520.45","exch_feed_time":"1764306271","ltp":"515.6","chp":"-0.68","Yhigh":"57700","type":"sf","avg_trade_price":"517.17","ask_price":"515.85","Ylow":"43330","tot_sell_qty":"309981","bid_size":"454","last_traded_qty":"17","low_price":"515.15","open_price":"520.45","tot_buy_qty":"272146","turnover":"4930078176","last_traded_time":"1764306241","bid_price":"515.6","prev_close_price":"519.15"}
Loop    0: @10:34:32:785, quote : {"vol_traded_today":"127369","symbol":"NSE:AMBUJACEM-EQ","ask_size":"345","ch":"3.0","high_price":"551.85","exch_feed_time":"1764306272","ltp":"551.7","chp":"0.55","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.75","Ylow":"45500","tot_sell_qty":"287598","bid_size":"750","last_traded_qty":"15","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316839","turnover":"6996379170","last_traded_time":"1764306261","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:34:650, quote : {"vol_traded_today":"127369","symbol":"NSE:AMBUJACEM-EQ","ask_size":"345","ch":"3.0","high_price":"551.85","exch_feed_time":"1764306274","ltp":"551.7","chp":"0.55","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.75","Ylow":"45500","tot_sell_qty":"287598","bid_size":"750","last_traded_qty":"3","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316839","turnover":"6996379170","last_traded_time":"1764306261","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:35:788, quote : {"vol_traded_today":"127418","symbol":"NSE:AMBUJACEM-EQ","ask_size":"61","ch":"3.0","high_price":"551.85","exch_feed_time":"1764306275","ltp":"551.7","chp":"0.55","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.7","Ylow":"45500","tot_sell_qty":"287621","bid_size":"675","last_traded_qty":"3","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316580","turnover":"6999070740","last_traded_time":"1764306272","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:35:789, quote : {"vol_traded_today":"23588","symbol":"NSE:COLPAL-EQ","ask_size":"1","ch":"-4.0","high_price":"2175.2","exch_feed_time":"1764306275","ltp":"2167.3","chp":"-0.18","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.5","Ylow":"214780","tot_sell_qty":"53637","bid_size":"2","last_traded_qty":"2","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53466","turnover":"5119822576","last_traded_time":"1764306265","bid_price":"2167.0","prev_close_price":"2171.3"}
Loop    0: @10:34:36:518, quote : {"vol_traded_today":"127418","symbol":"NSE:AMBUJACEM-EQ","ask_size":"61","ch":"3.0","high_price":"551.85","exch_feed_time":"1764306276","ltp":"551.7","chp":"0.55","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.7","Ylow":"45500","tot_sell_qty":"287621","bid_size":"675","last_traded_qty":"10","low_price":"546.15","open_price":"549.3","tot_buy_qty":"316580","turnover":"6999070740","last_traded_time":"1764306272","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:36:519, quote : {"vol_traded_today":"23588","symbol":"NSE:COLPAL-EQ","ask_size":"1","ch":"-3.7","high_price":"2175.2","exch_feed_time":"1764306276","ltp":"2167.6","chp":"-0.17","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.5","Ylow":"214780","tot_sell_qty":"53637","bid_size":"2","last_traded_qty":"1","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53466","turnover":"5119822576","last_traded_time":"1764306265","bid_price":"2167.0","prev_close_price":"2171.3"}
